"","Name","cluster","loc","height","width"
"182","Alanine",1.46943,1.46491,3.11897,1.3856
"183","Alanine",1.46943,1.47396,3.13131,1.3856
"184","Alanine",3.77789,3.7643,0.28912,1.1432
"185","Alanine",3.77789,3.77336,0.88965,1.1432
"186","Alanine",3.77789,3.78242,0.88083,1.1432
"187","Alanine",3.77789,3.79147,0.2788,1.1432
"188","Creatine",3.02566,3.02566,1.54297,1.1678
"189","Creatine",3.92048,3.92048,0.97389,1.3392
"190","Choline",3.18943,3.18882,6.74555,1.2426
"191","Choline",3.18943,3.18945,6.72967,1.245
"192","Choline",3.18943,3.19004,6.70658,1.2456
"193","Choline",3.50631,3.49767,0.03496,0.6736
"194","Choline",3.50631,3.49848,0.04812,0.6736
"195","Choline",3.50631,3.49951,0.44192,0.6736
"196","Choline",3.50631,3.50005,0.38679,0.6738
"197","Choline",3.50631,3.50028,0.44128,0.6736
"198","Choline",3.50631,3.50087,0.28188,0.6738
"199","Choline",3.50631,3.5017,0.12017,0.6738
"200","Choline",3.50631,3.50285,0.08975,0.6738
"201","Choline",3.50631,3.50387,0.52746,0.6736
"202","Choline",3.50631,3.50473,0.33809,0.6736
"203","Choline",3.50631,3.50561,0.48282,0.6736
"204","Choline",3.50631,3.5063,0.46891,0.6738
"205","Choline",3.50631,3.50648,0.32195,0.6736
"206","Choline",3.50631,3.50706,0.40481,0.6738
"207","Choline",3.50631,3.50794,0.33144,0.6738
"208","Choline",3.50631,3.50881,0.55249,0.6738
"209","Choline",3.50631,3.50992,0.16873,0.6736
"210","Choline",3.50631,3.51088,0.04559,0.6736
"211","Choline",3.50631,3.51186,0.36975,0.6736
"212","Choline",3.50631,3.5125,0.41313,0.6738
"213","Choline",3.50631,3.51267,0.43,0.6736
"214","Choline",3.50631,3.51326,0.44868,0.6738
"215","Choline",3.50631,3.51414,0.10843,0.6738
"216","Choline",3.50631,3.51496,0.02705,0.6738
"217","Choline",4.0569,4.04549,0.02461,0.6698
"218","Choline",4.0569,4.0463,0.00322,0.6698
"219","Choline",4.0569,4.04655,0.02267,0.6698
"220","Choline",4.0569,4.04723,0.24716,0.6698
"221","Choline",4.0569,4.04736,0.16083,0.6698
"222","Choline",4.0569,4.048,0.07535,0.6698
"223","Choline",4.0569,4.04834,0.04623,0.6698
"224","Choline",4.0569,4.04886,0.03094,0.6698
"225","Choline",4.0569,4.04916,0.00694,0.6698
"226","Choline",4.0569,4.04968,0.01665,0.6698
"227","Choline",4.0569,4.04993,0.01177,0.6698
"228","Choline",4.0569,4.05056,0.25047,0.6698
"229","Choline",4.0569,4.05074,0.23971,0.6698
"230","Choline",4.0569,4.05137,0.19039,0.6698
"231","Choline",4.0569,4.05169,0.03445,0.6698
"232","Choline",4.0569,4.05172,0.10517,0.6698
